cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NAND2_X1,B_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.552234e-11,1.345525e-12,3.787826e-02,1.166168e-12,6.711844e-13
NAND2_X1,B_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.568752e-11,8.859453e-13,3.448933e-02,6.694647e-13,5.802724e-13
NAND2_X1,B_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,5.951652e-11,2.198872e-12,3.694557e-02,1.839204e-12,1.205142e-12
NAND2_X1,B_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,5.688009e-11,2.109766e-12,3.709146e-02,1.623952e-12,1.346808e-12
NAND2_X1,B_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,3.729160e-11,2.429227e-12,6.514140e-02,2.289389e-12,8.123071e-13
NAND2_X1,B_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,1.989446e-11,2.644157e-13,1.329092e-02,8.342717e-14,2.509095e-13
NAND2_X1,B_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,4.877420e-11,2.528660e-12,5.184420e-02,2.337195e-12,9.652149e-13
NAND2_X1,B_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,3.025369e-11,6.587810e-13,2.177523e-02,4.405852e-13,4.897725e-13
NAND2_X1,B_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,7.420764e-11,2.947873e-12,3.972466e-02,2.608998e-12,1.372255e-12
NAND2_X1,B_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,5.848897e-11,1.920081e-12,3.282808e-02,1.454570e-12,1.253370e-12
NAND2_X1,B_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,3.113188e-11,1.876384e-12,6.027210e-02,1.278688e-12,1.373234e-12
NAND2_X1,B_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,2.936454e-11,1.912936e-12,6.514441e-02,1.188342e-12,1.499056e-12
NAND2_X1,B_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,4.599767e-11,2.842238e-12,6.179090e-02,1.913033e-12,2.102051e-12
NAND2_X1,B_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,5.001982e-11,3.250104e-12,6.497632e-02,2.009898e-12,2.554111e-12
NAND2_X1,B_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,8.482868e-11,5.385046e-12,6.348143e-02,3.585210e-12,4.018083e-12
NAND2_X1,B_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,1.049435e-10,6.799148e-12,6.478865e-02,4.194460e-12,5.351160e-12
