cell,arc,meas,slew_idx,load_idx,slew,load,inst,group,param,delta,sigma_mm,v0,vplus,vminus,s1,s2
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,3.375328e-11,3.376063e-11,3.374572e-11,3.727500e-13,-5.250000e-13
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,GROUP:N,N,vth,0.010,,3.375328e-11,3.380745e-11,3.368806e-11,5.969500e-12,-1.105000e-10
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,GROUP:N,N,u0,0.02,,3.375328e-11,3.365726e-11,3.385335e-11,-4.902250e-12,1.012500e-11
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,GROUP:P,P,vth,0.010,,3.375328e-11,3.375737e-11,3.374649e-11,5.440000e-13,-2.700000e-11
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,GROUP:P,P,u0,0.02,,3.375328e-11,3.376063e-11,3.374572e-11,3.727500e-13,-5.250000e-13
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,M1,N,vth,0.010,2.108185e-02,8.083652e-11,8.270619e-11,7.902058e-11,1.842805e-10,5.373000e-10
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,M1,N,u0,0.02,1.054093e-01,8.083652e-11,8.046495e-11,8.122268e-11,-1.894325e-11,3.647500e-11
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,M2,P,vth,0.010,1.338877e-02,8.083652e-11,8.083511e-11,8.083888e-11,-1.885000e-13,9.500000e-12
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,M2,P,u0,0.02,6.085806e-02,8.083652e-11,8.082946e-11,8.084369e-11,-3.557500e-13,2.750000e-13
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,GROUP:N,N,vth,0.010,,8.083652e-11,8.270619e-11,7.902058e-11,1.842805e-10,5.373000e-10
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,GROUP:N,N,u0,0.02,,8.083652e-11,8.046495e-11,8.122268e-11,-1.894325e-11,3.647500e-11
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,GROUP:P,P,vth,0.010,,8.083652e-11,8.083511e-11,8.083888e-11,-1.885000e-13,9.500000e-12
INV_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,GROUP:P,P,u0,0.02,,8.083652e-11,8.082946e-11,8.084369e-11,-3.557500e-13,2.750000e-13
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,M1,N,vth,0.010,2.108185e-02,6.245970e-11,6.355647e-11,6.144884e-11,1.053815e-10,8.591000e-10
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,M1,N,u0,0.02,1.054093e-01,6.245970e-11,6.209813e-11,6.283801e-11,-1.849700e-11,4.185000e-11
INV_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,M2,P,vth,0.010,1.338877e-02,6.245970e-11,6.246017e-11,6.245888e-11,6.450000e-14,-3.500000e-12
